Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Albury,,YMAY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6400,,Bureau of Meteorology,,,,,,
,Armidale,,YARM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6401,,Bureau of Meteorology,,,,,,
,Ballina/Byron Gateway,,YBNA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6402,,Bureau of Meteorology,,,,,,
,Sydney/Bankstown,,YSBK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6403,,Bureau of Meteorology,,,,,,
,Bathurst,,YBTH,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6404,,Bureau of Meteorology,,,,,,
,Bourke,,YBKE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6405,,Bureau of Meteorology,,,,,,
,Broken Hill,,YBHI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6406,,Bureau of Meteorology,,,,,,
,Camden,,YSCN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6407,,Bureau of Meteorology,,,,,,
,Canberra,,YSCB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6408,,Bureau of Meteorology,,,,,,
,Casino,,YCAS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6409,,Bureau of Meteorology,,,,,,
,Cessnock,,YCNK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6410,,Bureau of Meteorology,,,,,,
,Cobar,,YCBA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6411,,Bureau of Meteorology,,,,,,
