Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Alice Springs,,YBAS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2500,,Bureau of Meteorology,,,,,,
,Borroloola,,YBRL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2502,,Bureau of Meteorology,,,,,,
,Darwin,,YPDN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2503,,Bureau of Meteorology,,,,,,
,Gove,,YPGV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2505,,Bureau of Meteorology,,,,,,
,Groote Eylandt,,YGTE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2506,,Bureau of Meteorology,,,,,,
,Jabiru,,YJAB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2507,,Bureau of Meteorology,,,,,,
,Hooker Creek (Lajamanu),,YHOO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2508,,Bureau of Meteorology,,,,,,
,Maningrida,,YMGD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2509,,Bureau of Meteorology,,,,,,
,McArthur River Mine,,YMHU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2510,,Bureau of Meteorology,,,,,,
,Milingimbi,,YMGB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2511,,Bureau of Meteorology,,,,,,
,Port Keats,,YPKT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2512,,Bureau of Meteorology,,,,,,
,Tennant Creek,,YTNK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2513,,Bureau of Meteorology,,,,,,
,Tindal,,YPTN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2514,,Bureau of Meteorology,,,,,,
,Victoria River Downs,,YVRD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2515,,Bureau of Meteorology,,,,,,
,Ayers Rock/Connellan (Yulara),,YAYE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NT AWIS ::: * myContacts,AWIS,08 7922 2516,,Bureau of Meteorology,,,,,,
