Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Amberley,,YAMB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3700,,Bureau of Meteorology,,,,,,
,Brisbane/Archerfield,,YBAF,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3701,,Bureau of Meteorology,,,,,,
,Ballera,,YLLE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3702,,Bureau of Meteorology,,,,,,
,Birdsville,,YBDV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3703,,Bureau of Meteorology,,,,,,
,Blackall,,YBCK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3704,,Bureau of Meteorology,,,,,,
,Brisbane,,YBBN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3705,,Bureau of Meteorology,,,,,,
,Bundaberg,,YBUD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3706,,Bureau of Meteorology,,,,,,
,Burketown,,YBKT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3707,,Bureau of Meteorology,,,,,,
,Cairns/Cairns INTL,,YBCS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3708,,Bureau of Meteorology,,,,,,
,Century Mine,,YCNY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3709,,Bureau of Meteorology,,,,,,
,Charleville,,YBCV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3710,,Bureau of Meteorology,,,,,,
,Cloncurry,,YCCY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3711,,Bureau of Meteorology,,,,,,
,Cooktown,,YCKN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3712,,Bureau of Meteorology,,,,,,
,Gold Coast,,YBCG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3713,,Bureau of Meteorology,,,,,,
,Emerald,,YEML,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3714,,Bureau of Meteorology,,,,,,
,Gladstone,,YGLA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3715,,Bureau of Meteorology,,,,,,
,Hamilton Island,,YBHM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3716,,Bureau of Meteorology,,,,,,
,Hervey Bay,,YHBA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3717,,Bureau of Meteorology,,,,,,
,Horn Island,,YHID,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3718,,Bureau of Meteorology,,,,,,
