Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Adelaide,,YPAD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3800,,Bureau of Meteorology,,,,,,
,Ceduna,,YCDU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3801,,Bureau of Meteorology,,,,,,
,Cleve,,YCEE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3802,,Bureau of Meteorology,,,,,,
,Coober Pedy,,YCBP,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3803,,Bureau of Meteorology,,,,,,
,Cummins Town,,YCMM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3804,,Bureau of Meteorology,,,,,,
,Edinburgh,,YPED,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3805,,Bureau of Meteorology,,,,,,
,Kingscote/Kangaroo Island,,YKSC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3806,,Bureau of Meteorology,,,,,,
,Leigh Creek,,YLEC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3807,,Bureau of Meteorology,,,,,,
,Moomba,,YOOM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3808,,Bureau of Meteorology,,,,,,
,Mount Gambier,,YMTG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3809,,Bureau of Meteorology,,,,,,
