Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Avalon,,YMAV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3200,,Bureau of Meteorology,,,,,,
,Bairnsdale,,YBNS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3201,,Bureau of Meteorology,,,,,,
,Ballarat,,YBLT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3202,,Bureau of Meteorology,,,,,,
,Bendigo,,YBDG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3203,,Bureau of Meteorology,,,,,,
,Portland,,YPOD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3204,,Bureau of Meteorology,,,,,,
,Coldstream,,YCEM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3205,,Bureau of Meteorology,,,,,,
,East Sale,,YMES,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3206,,Bureau of Meteorology,,,,,,
,Melbourne/Essendon,,YMEN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3207,,Bureau of Meteorology,,,,,,
,Hamilton,,YHML,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3208,,Bureau of Meteorology,,,,,,
,Horsham,,YHSM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3209,,Bureau of Meteorology,,,,,,
,Kilmore Gap,,KMG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3210,,Bureau of Meteorology,,,,,,
,Latrobe Valley,,YLTV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3211,,Bureau of Meteorology,,,,,,
,Mallacoota,,YMCO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3212,,Bureau of Meteorology,,,,,,
,Mangalore,,YMNG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3213,,Bureau of Meteorology,,,,,,
