Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Albany,,YABA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2600,,Bureau of Meteorology,,,,,,
,Argyle,,YARG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2601,,Bureau of Meteorology,,,,,,
,Barrow Island,,YBWX,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2602,,Bureau of Meteorology,,,,,,
,Broome/INTL,,YBRM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2603,,Bureau of Meteorology,,,,,,
,Busselton,,YBLN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2604,,Bureau of Meteorology,,,,,,
,Carnarvon,,YCAR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2605,,Bureau of Meteorology,,,,,,
,Cocos (Keeling) Islands,,YPCC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2607,,Bureau of Meteorology,,,,,,
,Cunderdin,,YCUN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2608,,Bureau of Meteorology,,,,,,
,Derby,,YDBY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2610,,Bureau of Meteorology,,,,,,
,Esperance,,YESP,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2611,,Bureau of Meteorology,,,,,,
,Fitzroy Crossing,,YFTZ,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2612,,Bureau of Meteorology,,,,,,
,Forrest,,YFRT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2613,,Bureau of Meteorology,,,,,,
,Geraldton,,YGEL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2615,,Bureau of Meteorology,,,,,,
,Gingin,,YGIG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2616,,Bureau of Meteorology,,,,,,
,Halls Creek,,YHLC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2617,,Bureau of Meteorology,,,,,,
,Perth/Jandakot,,YPJT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2618,,Bureau of Meteorology,,,,,,
,Kalgoorlie-Boulder,,YPKG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2619,,Bureau of Meteorology,,,,,,
,Karratha,,YPKA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2620,,Bureau of Meteorology,,,,,,
,Kununurra,,YPKU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2621,,Bureau of Meteorology,,,,,,
,Laverton,,YLTN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2622,,Bureau of Meteorology,,,,,,
,Learmonth,,YPLM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2623,,Bureau of Meteorology,,,,,,
,Leinster,,YLST,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2624,,Bureau of Meteorology,,,,,,
,Meekatharra,,YMEK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2626,,Bureau of Meteorology,,,,,,
,Mount Magnet,,YMOG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2627,,Bureau of Meteorology,,,,,,
,Newman,,YNWN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2628,,Bureau of Meteorology,,,,,,
,Norseman,,YNSM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2629,,Bureau of Meteorology,,,,,,
,Onslow,,YOLW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2630,,Bureau of Meteorology,,,,,,
,Paraburdoo,,YPBO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2631,,Bureau of Meteorology,,,,,,
,Pearce,,YPEA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2632,,Bureau of Meteorology,,,,,,
,Perth,,YPPH,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2633,,Bureau of Meteorology,,,,,,
