"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.*",
"'WA","'Leonora","'YLEO","'Y","'N","'Y","'Y","'Y","'(08) 62162625","'Y",
"'NSW","'Lismore","'YLIS","'Y","'N","'Y","'Y","'Y","'(02) 9353 6431","'Y",
"'QLD","'Lockhart River","'YLHR","'Y","'N","'Y","'Y","'Y","'(07) 3564 3722","'Y",
"'WA","'Lombadina","'YLBD","'Y","'N","'Y","'Y","'Y","'N","'N",
"'QLD","'Longreach","'YLRE","'Y","'N","'Y","'Y","'Y","'(07) 3564 3723","'N",
"'NSW","'Lord Howe Island","'YLHI","'Y","'N","'Y","'Y","'Y","'(02) 9353 6432","'Y",
"'QLD","'Mackay","'YBMK","'Y","'N","'Y","'Y","'Y","'(07) 3564 3724","'N",
"'NSW","'Maitland (NSW)","'YMND","'Y","'N","'Y","'Y","'Y","'(02) 9353 6433","'N",
"'VIC","'Mallacoota","'YMCO","'N","'N","'Y","'N","'N","'(03) 8470 3212","'N",
"'VIC","'Mangalore","'YMNG","'Y","'N","'Y","'Y","'Y","'(03) 8470 3213","'Y",
"'NT","'Maningrida","'YMGD","'Y","'N","'Y","'Y","'Y","'(08) 7922 2509","'N",
"'QLD","'Mareeba","'YMBA","'Y","'N","'Y","'N","'N","'(07) 3564 3725","'Y",
"'SA","'Marree","'YMRE","'N","'N","'Y","'N","'N","'N","'N",
"'QLD","'Maryborough (QLD)","'YMYB","'Y","'N","'Y","'Y","'Y","'(07) 3564 3726","'Y",
"'NT","'McArthur River Mine","'YMHU","'Y","'N","'Y","'Y","'Y","'(08) 7922 2510","'Y",
"'WA","'Meekatharra","'YMEK","'Y","'N","'Y","'Y","'Y","'(08) 6216 2626","'Y",
"'VIC","'Melbourne","'YMML","'Y","'Y","'Y","'Y","'Y","'(03) 8470 3214","'N",
"'VIC","'Melbourne/Essendon","'YMEN","'Y","'N","'Y","'Y","'Y","'(03) 8470 3207","'Y",
"'VIC","'Melbourne/Moorabbin","'YMMB","'Y","'N","'Y","'Y","'Y","'(03) 8470 3216","'Y",
"'NSW","'Merimbula","'YMER","'Y","'N","'Y","'Y","'Y","'(02) 9353 6434","'Y",
"'VIC","'Mildura","'YMIA","'Y","'N","'Y","'Y","'Y","'(03) 8470 3215","'Y",
"'NT","'Milingimbi","'YMGB","'N","'N","'Y","'N","'N","'(08) 7922 2511","'Y",
"'SA","'Moomba","'YOOM","'Y","'N","'Y","'Y","'Y","'(08) 8150 3808","'Y",
"'QLD","'Moranbah","'YMRB","'Y","'N","'Y","'Y","'Y","'(07) 3564 3727","'Y",
"'WA","'Morawa","'YMRW","'N","'N","'Y","'N","'N","'N","'N",
"'NSW","'Moree","'YMOR","'Y","'N","'Y","'Y","'Y","'(02) 9353 6435","'Y",
"'QLD","'Mornington Island","'YMTI","'Y","'N","'Y","'Y","'Y","'(07) 3564 3728","'N",
"'NSW","'Moruya","'YMRY","'Y","'N","'Y","'Y","'Y","'(02) 9353 6436","'Y",
"'NSW","'Moss Vale","'MSV","'N","'N","'Y","'Y","'Y","'(02) 9353 6437","'N",
"'NSW","'Mount Boyce","'MTB","'N","'N","'Y","'Y","'Y","'(02) 9353 6438","'N",
"'VIC","'Mount Buller","'YBXU","'N","'N","'Y","'N","'N","'N","'N",
"'SA","'Mount Gambier","'YMTG","'Y","'N","'Y","'Y","'Y","'(08) 8150 3809","'Y",
"'VIC","'Mount Hotham","'YHOT","'N","'N","'Y","'Y","'Y","'(03) 8470 3217","'Y",
"'QLD","'Mount Isa","'YBMA","'Y","'N","'Y","'Y","'Y","'(07) 3564 3729","'Y",
"'WA","'Mount Keith","'YMNE","'N","'N","'Y","'Y","'Y","'N","'Y",
"'WA","'Mount Magnet","'YMOG","'Y","'N","'Y","'N","'N","'(08) 6216 2627","'Y",
"'NSW","'Mudgee","'YMDG","'Y","'N","'Y","'Y","'Y","'(02) 9353 6439","'N",
"'SA","'Murray Bridge","'YMBD","'Y","'N","'Y","'Y","'Y","'N","'N",
"'NSW","'Murrurundi","'MUI","'N","'N","'Y","'Y","'Y","'(02) 9353 6440","'N",
"'SA","'Naracoorte","'YNRC","'Y","'N","'Y","'N","'N","'(08) 8150 3810","'N",
"'NSW","'Narrabri","'YNBR","'Y","'N","'Y","'Y","'Y","'(02) 9353 6441","'Y",
"'NSW","'Narrandera","'YNAR","'Y","'N","'Y","'Y","'Y","'(02) 9353 6442","'Y",
"'WA","'Newman","'YNWN","'Y","'N","'Y","'Y","'Y","'(08) 6216 2628","'Y",
"'NT","'Ngukurr","'YNGU","'Y","'N","'Y","'N","'N","'N","'N",
"'VIC","'Nhill","'YNHL","'N","'N","'Y","'N","'N","'(03) 8470 3218","'N",
"'NSW","'Norfolk Island","'YSNF","'Y","'N","'Y","'Y","'Y","'(02) 9353 6443","'N",
"'QLD","'Normanton","'YNTN","'Y","'N","'Y","'Y","'Y","'(07) 3564 3730","'Y",
"'WA","'Norseman","'YNSM","'N","'N","'Y","'N","'N","'(08) 6216 2629","'N",
"'NSW","'Nowra","'YSNW","'Y","'Y**","'Y","'Y","'Y","'(02) 9353 6444","'Y",
"'QLD","'Oakey","'YBOK","'Y","'","'Y","'Y","'Y","'(07) 3564 3731","'N",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'93.89648438","'95.70312500","'92.38281250","'90.67382813","'93.31054688","'93.65234375","'95.84960938","'94.53125000","'95.50781250","'93.35937500",
"'88.96484375","'90.67382813","'87.54882813","'85.93750000","'88.42773438","'88.72070313","'90.82031250","'89.59960938","'90.52734375","'88.47656250",
"'90.82031250","'92.57812500","'89.40429688","'87.74414063","'90.28320313","'90.62500000","'92.72460938","'91.50390625","'92.43164063","'90.33203125",
"'91.74804688","'93.50585938","'90.28320313","'88.62304688","'91.16210938","'91.50390625","'93.65234375","'92.38281250","'93.31054688","'91.21093750",
"'92.48046875","'94.28710938","'91.01562500","'89.30664063","'91.89453125","'92.23632813","'94.43359375","'93.11523438","'94.09179688","'91.94335938",
"'92.23632813","'94.04296875","'90.77148438","'89.11132813","'91.69921875","'91.99218750","'94.18945313","'92.91992188","'93.84765625","'91.74804688",
"'92.57812500","'94.38476563","'91.11328125","'89.40429688","'91.99218750","'92.33398438","'94.48242188","'93.21289063","'94.18945313","'92.04101563",
"'92.28515625","'94.09179688","'90.82031250","'89.16015625","'91.74804688","'92.04101563","'94.23828125","'92.96875000","'93.89648438","'91.79687500",
"'92.57812500","'94.38476563","'91.11328125","'89.40429688","'91.99218750","'92.33398438","'94.48242188","'93.21289063","'94.18945313","'92.04101563",
"'92.57812500","'94.38476563","'91.11328125","'89.40429688","'91.99218750","'92.33398438","'94.48242188","'93.21289063","'94.18945313","'92.04101563",
"'92.28515625","'94.09179688","'90.82031250","'89.16015625","'91.74804688","'92.04101563","'94.23828125","'92.96875000","'93.89648438","'91.79687500",
"'92.52929688","'94.33593750","'91.06445313","'89.35546875","'91.94335938","'92.28515625","'94.43359375","'93.16406250","'94.14062500","'91.99218750",
"'92.38281250","'94.18945313","'90.91796875","'89.25781250","'91.84570313","'92.13867188","'94.33593750","'93.06640625","'93.99414063","'91.84570313",
"'91.84570313","'93.60351563","'90.38085938","'88.67187500","'91.25976563","'91.60156250","'93.75000000","'92.48046875","'93.40820313","'91.30859375",
"'91.99218750","'93.79882813","'90.57617188","'88.86718750","'91.45507813","'91.79687500","'93.94531250","'92.67578125","'93.60351563","'91.50390625",
"'91.89453125","'93.70117188","'90.47851563","'88.76953125","'91.35742188","'91.69921875","'93.84765625","'92.57812500","'93.50585938","'91.40625000",
"'92.04101563","'93.84765625","'90.62500000","'88.91601563","'91.50390625","'91.84570313","'93.99414063","'92.72460938","'93.65234375","'91.55273438",
"'91.55273438","'93.31054688","'90.08789063","'88.42773438","'90.96679688","'91.30859375","'93.45703125","'92.18750000","'93.11523438","'91.01562500",
"'91.65039063","'93.40820313","'90.18554688","'88.52539063","'91.06445313","'91.40625000","'93.55468750","'92.28515625","'93.21289063","'91.11328125",
"'90.28320313","'92.04101563","'88.86718750","'87.20703125","'89.74609375","'90.03906250","'92.13867188","'90.91796875","'91.84570313","'89.79492188",
"'91.35742188","'93.11523438","'89.89257813","'88.23242188","'90.82031250","'91.11328125","'93.26171875","'91.99218750","'92.91992188","'90.82031250",
"'91.40625000","'93.16406250","'89.94140625","'88.28125000","'90.82031250","'91.16210938","'93.31054688","'92.04101563","'92.96875000","'90.86914063",
