"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.",
"'SA","'Olympic Dam","'YOLD","'Y","'N","'Y","'Y","'Y","'(08) 8150 3811","'Y",
"'WA","'Onslow","'YOLW","'Y","'N","'Y","'N","'N","'(08) 6216 2630","'N",
"'SA","'Oodnadatta","'YOOD","'N","'N","'Y","'N","'N","'(08) 8150 3812","'N",
"'NSW","'Orange","'YORG","'Y","'N","'Y","'Y","'Y","'(02) 9353 6445","'Y",
"'WA","'Paraburdoo","'YPBO","'Y","'N","'Y","'Y","'Y","'(08) 6216 2631","'Y",
"'NSW","'Parkes","'YPKS","'Y","'N","'Y","'Y","'Y","'(02) 9353 6446","'Y",
"'WA","'Pearce","'YPEA","'Y","'Y**","'Y","'Y","'Y","'(08) 6216 2632","'Y",
"'WA","'Perth","'YPPH","'Y","'Y","'Y","'Y","'Y","'(08) 6216 2633","'N",
"'WA","'Perth/Jandakot","'YPJT","'Y","'N","'Y","'Y","'Y","'(08) 6216 2618","'Y",
"'SA","'Port Augusta","'YPAG","'Y","'N","'Y","'Y","'Y","'(08) 8150 3814","'N",
"'WA","'Port Hedland","'YPPD","'Y","'N","'Y","'Y","'Y","'(08) 6216 2634","'Y",
"'NT","'Port Keats","'YPKT","'Y","'N","'Y","'N","'N","'(08) 7922 2512","'Y",
"'SA","'Port Lincoln","'YPLC","'Y","'N","'Y","'Y","'Y","'(08) 8150 3815","'Y",
"'NSW","'Port Macquaire","'YPMQ","'Y","'N","'Y","'Y","'Y","'(02) 9353 6447","'Y",
"'VIC","'Portland","'YPOD","'Y","'N","'Y","'Y","'Y","'(03) 8470 3204","'Y",
"'QLD","'Proserpine/Whitsunday Coast","'YBPN","'Y","'N","'Y","'Y","'Y","'(07) 3564 3732","'Y",
"'SA","'Renmark","'YREN","'Y","'N","'Y","'Y","'Y","'(08) 8150 3817","'Y",
"'NSW","'Richmond (NSW)","'YSRI","'Y","'N","'Y","'Y","'Y","'(02) 9353 6448","'Y",
"'QLD","'Richmond (QLD)","'YRMD","'Y","'N","'Y","'Y","'Y","'(07) 3564 3733","'N",
"'SA","'Robe","'YRBE","'N","'N","'Y","'N","'N","'N","'N",
"'QLD","'Rockhampton","'YBRK","'Y","'N","'Y","'Y","'Y","'(07) 3564 3734","'N",
"'WA","'Roebourne","'YROE","'N","'N","'Y","'N","'N","'N","'N",
"'QLD","'Roma","'YROM","'Y","'N","'Y","'Y","'Y","'(07) 3564 3735","'Y",
"'WA","'Rottnest Island","'YRTI","'N","'N","'Y","'N","'N","'(08) 6216 2635","'Y",
"'QLD","'Saint George","'YSGE","'Y","'N","'Y","'Y","'Y","'N","'N",
"'TAS","'Saint Helens","'YSTH","'Y","'N","'Y","'Y","'Y","'(03) 6283 8606","'N",
"'QLD","'Scherger (RAAF)","'YBSG","'N","'N","'Y","'Y","'N","'(07) 3564 3737","'N",
"'NSW","'Scone","'YSCO","'Y","'N","'Y","'Y","'Y","'(02) 9353 6449","'Y",
"'WA","'Shark Bay","'YSHK","'Y","'N","'Y","'N","'N","'(08) 6216 2636","'N",
"'NSW","'Shellharbour Airport","'YSHL","'Y","'N","'Y","'Y","'Y","'(02) 9353 6461","'Y",
"'VIC","'Shepparton","'YSHT","'Y","'N","'Y","'Y","'Y","'(03) 8470 3219","'Y",
"'TAS","'Smithton","'YSMI","'N","'N","'Y","'N","'N","'(03) 6283 8605","'N",
"'WA","'Solomon","'YSOL","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'NT","'South Goulburn Island","'YGBI","'N","'N","'Y","'N","'N","'N","'N",
"'WA","'Southern Cross","'YSCR","'Y","'N","'Y","'Y","'Y","'(08) 6216 2637","'N",
"'VIC","'Stawell","'YSWL","'N","'N","'Y","'N","'N","'(03) 8470 3220","'Y",
"'TAS","'Strahan","'YSRN","'Y","'N","'Y","'Y","'Y","'(03) 6283 8607","'N",
"'QLD","'Sunshine Coast","'YBSU","'Y","'N","'Y","'Y","'Y","'(07) 3564 3738","'Y",
"'VIC","'Swan Hill","'YSWH","'Y","'N","'Y","'Y","'Y","'(03) 8470 3221","'N",
"'NSW","'Sydney/Kingsford Smith","'YSSY","'Y","'Y","'Y","'Y","'Y","'(02) 9353 6450","'N",
"'NSW","'Sydney/Bankstown","'YSBK","'Y","'N","'Y","'Y","'Y","'(02) 9353 6403","'N",
"'NSW","'Tamworth","'YSTW","'Y","'N","'Y","'Y","'Y","'(02) 9353 6451","'N",
"'SA","'Tarcoola","'YTAR","'N","'N","'Y","'N","'N","'(08) 8150 3818","'N",
"'NSW","'Taree","'YTRE","'Y","'N","'Y","'Y","'Y","'(02) 9353 6452","'N",
"'WA","'Telfer","'YTEF","'Y","'N","'Y","'Y","'Y","'(08) 6216 2638","'Y",
"'NSW","'Temora","'YTEM","'Y","'N","'Y","'N","'N","'(02) 9353 6453","'Y",
"'NT","'Tennant Creek","'YTNK","'Y","'N","'Y","'Y","'Y","'(08) 7922 2513","'Y",
